# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Umm, excuse me.	呃，不好意思。
Leave me alone. I'm too depressed to talk.	別煩我。我心情差到不想講話。
I'm guessing it conceals the entrance to a secret lab.	我猜它後面藏著秘密實驗室的入口。
grandfather clock	落地鐘
stairs	樓梯
And get some gnarly Egyptian curse?\255\003No way.	然後中個超猛的埃及詛咒？\255\003免談。
Cool. The room clerk's a mummy.	酷。櫃檯是個木乃伊。
That would not be respectful.	那樣很不敬。
Besides, I might get caught.	而且我可能會被抓到。
I guess he's not interested.	我看他沒興趣。
mummy	木乃伊
swinging door	彈簧門
I can't go through the fire.	我沒辦法穿過火。
fireplace	壁爐
I would, but not enough people are looking at me.	我是想啦，但看我的人不夠多。
I suggest the national anthem should be^\255\003^`Bite the Demon Pancreas` by the Spewtones.	我建議國歌應該改成^\255\003^嘔吐音樂人樂團的 `咬爆惡魔胰臟`。
N-n-no chance, b-b-boy.\255\003You have to p-p-put it in writing.	不-不-不行，小-小子。\255\003你得寫-寫成書面。
Put it in writing.	寫成書面。
`The Constitutional Convention invites your comments^`\255\003`^critiques^`	`制憲會議歡迎您提供意見^`\255\003`^批評^`
`^amendments to the constitution.`	`^以及對憲法的修正案。`
It's padlocked.	上了掛鎖。
suggestion box	建議箱
`Stolen from the desk of GEORGE WASHINGTON`	`偷自喬治・華盛頓的書桌`
Hey, keep your hands off of that.	喂，手拿開。
It's already got ink.	已經有墨水了。
gold-plated quill pen	鍍金羽毛筆
Sorry.  I'm saving it.	抱歉，我要留著。
It's going to be a famous log.	這會是根名留青史的木頭。
It's big, it's heavy, it's wood.	又大又重，木頭做的。
log	木頭
Don't touch that.\255\003It's government property.	別碰那個。\255\003那是政府財產。
It looks like a martini shaker.	看起來像調酒器。
time capsule	時空膠囊
I don't wanna.	我不要。
That's nice, but not right for a time capsule.	那不錯，但不適合放進時空膠囊。
Please stop.\255\003You're making me quite drowsy.	拜託停下。\255\003你害我很想睡。
He wouldn't get it.	他不會懂的。
He looks oddly familiar^	他看起來莫名眼熟^
I don't think he'll fall for that again!	我看他不會再上當了！
I'm not going to give that to the father of our country.	我才不要把那個給國父。
Stop reading that horrible book.\255\003It's hard enough to stay awake through this blasted meeting as it is.	別再唸那本可怕的書了。\255\003光是撐著不在這鬼會議上睡著就夠難了。
I got something funny to show ya.	我有個好笑的東西給你看。
You rapscallion!	你這小混蛋！
It's lucky for you I'm so dignified.	算你好運，我這人有風度。
Mr. Hancock, dude?	漢考克先生，老兄？
Y-Y-Y-Yes-sss?	什-什-什-什麼事-事？
M-M-My c-c-c-coat!	我-我的外-外-外套！
G-G-Get away, you loyalist!	滾-滾開，你這保皇黨！
He looks better now.	他現在看起來好多了。
Must have poor circulation.	血液循環大概很差。
Stop reading that book!\255\003I have enough trouble staying awake with Mr. Time Capsule here as my constant companion.	別再唸那本書了！\255\003光是身邊一直坐著時空膠囊先生，我就夠難保持清醒了。
S-s-stop that!	停-停下！
It's so c-c-cold in here that I'm afraid if I f-fall asleep I'll wake up as an ice c-cube in somebody's d-drink.	這裡冷-冷得要命，我怕一睡-睡著，醒來就變成別人杯子裡的冰-冰塊了。
This was hard to get.	這東西很難弄到。
I don't think he'd be interested.	我看他沒興趣。
What he needs is a space heater.	他需要的是暖爐。
Navajo, I think.	我看是納瓦荷風的。
I've got better things to do.	我有更重要的事要做。
blanket	毯子
It's a little cage with a canary in it, perched above a little lever^\255\003Hmmm^	是個小籠子，裡面有隻金絲雀，棲在一根小拉桿上方^\255\003嗯^
I guess I would have to start a fire to do that.	我看得先生個火才行。
smoke detector	煙霧偵測器
Someday, I'll let the bird have it.	總有一天我會讓那隻鳥好看。
Hot.	燙。
No.  Fire bad.	不。火，壞。
fire	火
Whoa, it's filling up fast!	哇，塞得真快！
They don't seem to have gotten too far.	他們好像沒寫多少。
I don't think that's the right way to add an amendment.	我看那不是加修正案的正確方式。
You can look, but don't touch.	可以看，不准碰。
constitution in progress	撰寫中的憲法
Cool view of the outhouses.	茅房的景觀真讚。
Mr. President, may I offer you an excellent smoke?	總統先生，容我請您抽根好菸？
Can you also provide me with a light?	你也能幫我點火嗎？
No.	不行。
Pity.	可惜。
Sure.	當然。
Well, in that case^	那這樣的話^
Blast!\255\003I hate it when that happens!	該死！\255\003我最討厭這種事了！
See if you can't find those for me, will you?\255\003There's a good lad.	你幫我找找看，好嗎？\255\003真是個好孩子。
Excuse me.	不好意思。
Yes?	什麼事？
Could you use these?	這個你用得上嗎？
Very kind, but those are much too large for me.	你真好心，但那對我來說太大了。
Why, thank you, young man.	哎呀，謝謝你，年輕人。
Strange^\255\003^I wonder if I should cut down on the coffee?	奇怪^\255\003^我是不是該少喝點咖啡？
No thanks, I already have some false teeth.	不用了，我已經有假牙了。
It looks pretty clear in here now.	這裡現在看起來清爽多了。
Say, did you get the pen on our way out?	欸，我們出來的時候你有把筆拿走嗎？
No, I--	沒有，我——
I found a blanket blocking the chimney.	我發現有條毯子塞住煙囪。
Son, do you know anything about a blanket?	孩子，你知道毯子的事嗎？
Uh, didn't the dude next to you have one earlier?	呃，你旁邊那位剛剛不是有一條嗎？
Err^	唔^
Uh^\255\003Hey, catch you later.	呃^\255\003嘿，回頭見。
Ah, you again.\255\003Listen, I'm afraid I'm quite busy.\255\003Affairs of the state and all that, I'm sure you understand.	啊，又是你。\255\003聽著，我恐怕很忙。\255\003國家大事之類的，你應該懂。
Weren't you president or something?	你不是總統之類的嗎？
You enunciate quite clearly for a man without his teeth.	以一個沒牙的人來說，你咬字算清楚了。
I've been thinking about what you said about cherry trees.	我一直在想你說的櫻桃樹那件事。
Is it true about you and the cherry tree?	你跟櫻桃樹那件事是真的嗎？
I think it's freezing in here, don't you?	我覺得這裡冷死了，你不覺得嗎？
Cold enough for ya?	夠冷了吧？
Do you really have WOODEN teeth?	你真的有木頭做的牙齒？
