# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Yes, I know.	是，我知道。
Meanwhilst^	與此同時^
^nothing much happens.	^沒什麼事發生。
Soon all the power of the heavens will be MINE!\255\003All MINE!!!\255\003If only we had some nasty weather^	很快天上所有的力量都將屬於我！\255\003全都是我的！！！\255\003只要天氣糟一點就好^
Hmmm^ the design's solid^\255\003But I need some waterproof material^\255\003^like cast iron, or something.	嗯^設計很紮實^\255\003但我需要防水材料^\255\003^像是鑄鐵之類的。
Those founding fathers are driving me nuts!\255\003Flag design changes every five minutes!	那些開國元勳快把我逼瘋了！\255\003國旗設計每五分鐘改一次！
Well, as soon as I'm done with this, I'm making them a flag, ready or not!	等我把這個弄完，不管他們準備好沒，我就給他們做一面旗！
Just about done with this^\255\003Then I'm grabbing the latest flag design and sewing it up!\255\003Then it's, `Bye-bye Betsy!`	這個快弄完了^\255\003然後我就拿最新的設計縫起來！\255\003接著就是 `貝琪掰掰！`
Boy, this has taken longer than I thought.\255\003I'll never get out of here.\255\003At this point, I don't care WHAT the flag looks like!	天啊，這比我想的還久。\255\003我永遠出不去了。\255\003到這地步，我根本不在乎那面旗長什麼樣了！
How about an amendment that the president has to be a human being?	加一條規定總統必須是人類的修正案如何？
Please, this is serious business.	拜託，這是正經事。
You're right.	你說得對。
Maybe we should add a rule that you can't dump sludge into the water supply.	也許我們該加一條不准把污泥倒進水源的規定。
What manner of fool would do that in the first place?	什麼樣的蠢材才會做那種事？
What do you suppose happened to Hamilton and Madison?	你覺得漢彌爾頓和麥迪遜是怎麼了？
Yes, I'm certain we told them Thursday.\255\003I'll wager Madison's with that woman who bakes the cupcakes again^\255\003^and Hamilton's probably gotten himself into another fight.	沒錯，我確定我們跟他們說的是星期四。\255\003我敢打賭麥迪遜又跟那個烤杯子蛋糕的女人在一起^\255\003^漢彌爾頓大概又跟人打起來了。
I bet they show up late and take all the credit for our work.	我敢說他們會遲到，然後把我們的功勞全搶走。
Are you sure we don't need to add anything about hideous slimy super-intelligent tentacles?	你確定我們不用加一條關於醜陋黏滑超高智商觸手的規定？
Don't be absurd.	別荒謬了。
(four hundred years later)	（四百年後）
Get me down from here!	把我從這裡弄下來！
Hey, Tom.  Look.	嘿，湯姆。你看。
The father of our nation is cold.\255\003Better build a fire.	國父冷了。\255\003最好生個火。
*sigh*	*嘆氣*
I guess you can have my log.	那我的木頭給你吧。
Me?  Why should I build the fire?	我？為什麼要我生火？
You build the fire.	你去生火。
I'm bothered by the smoke.\255\003You build the fire.	我怕煙。\255\003你去生火。
I'm bothered by your attitude!\255\003You build the fire!	我看不慣你的態度！\255\003你去生火！
No, YOU build the fire, Mr. Penmanship!	不，你去生火，書法先生！
No, YOU build the fire, log lover!	不，你去生火，愛木頭的！
No, YOU build the fire!	不，你去生火！
Two Hours Later	兩小時後
You big baby.	你這個大嬰兒。
*ahem*\255\003BOY, IT'S SURE QUIET IN HERE.	*咳*\255\003哎呀，這裡還真安靜啊。
I WONDER IF THERE MIGHT BE ANY IDEAS WORTH DISCUSSING IN THE SUGGESTION BOX?	不知道建議箱裡有沒有什麼值得討論的點子呢？
MAYBE SOMEBODY SHOULD TAKE A LOOK.	也許該有人去看一看。
I say, lads, I have an idea.	各位，我有個主意。
D-d-does it have anything to do with starting a f-f-fire?	那-那跟生-生火有關嗎？
Harassing Betsy with arbitrary flag design changes is getting dull.\255\003Besides, last time she threatened to stitch me.	用亂改國旗設計去煩貝琪已經沒意思了。\255\003何況上次她威脅要把我縫起來。
I was thinking it's about time we opened the suggestion box.\255\003Don't you agree?	我在想差不多該打開建議箱了。\255\003你們不覺得嗎？
S-sure George.\255\003If you s-s-say so.	當-當然，喬治。\255\003你說-說了算。
Sure, George.\255\003If you say so.	當然，喬治。\255\003你說了算。
Yes, whatever you think is fine with us.	是的，你怎麼想我們都沒意見。
Excellent!	好極了！
What's he th-thinking?\255\003N-n-no one of any importance has b-been here all day.\255\003What c-c-could be in the s-suggestion box?	他在想-想什麼？\255\003今天根-根本沒有什麼重要人物來-來過。\255\003建-建議箱裡能有什-什麼？
What's he thinking?\255\003No one of any importance has been here all day.\255\003What could be in the suggestion box?	他在想什麼？\255\003今天根本沒有什麼重要人物來過。\255\003建議箱裡能有什麼？
Perhaps he intends to suggest something himself.	也許他打算自己提個建議。
Oh.	喔。
Ah, here's a suggestion.	啊，這裡有個建議。
It says: `George says that every American should have a vacuum cleaner in their basement!`	上面寫著：`喬治說每個美國人的地下室都該有一台吸塵器！`
What do you think, gentlemen?	各位覺得如何？
Um^\255\003^whatever you say, George.	呃^\255\003^你說了算，喬治。
Your n-name's on it^I'm sure you m-m-must have a good reason f-for suggesting it.	你的名-名字在上面^我相信你提-提這個一定有很好的理-理由。
Your name's on it^I'm sure you must have a good reason for suggesting it.	你的名字在上面^我相信你提這個一定有很好的理由。
Yes^	是啊^
It's strange^	奇怪的是^
^I don't quite^	^我不太^
^well, I'm sure I had a reason for it.	^算了，我相信我當初一定有理由。
If there are no objections, we shall add it to the constitution immediately!	若無異議，我們就立刻把它加進憲法！
No?\255\003Good!\255\003And so shall it be law.	沒有？\255\003很好！\255\003那它就是法律了。
What's a `vacuum cleaner`?	`吸塵器` 是什麼？
It's too early to do his hair.	現在弄他的頭髮還太早。
I would, but who would see it?	我是想啦，但誰看得到？
It's all slimy and sticking together.	全都黏黏的糊成一團。
Sometimes I like to eat it raw.	有時候我喜歡生吃。
spaghetti	義大利麵
It's a viscous liquid, probably used in cooking.	是種黏稠的液體，大概是煮菜用的。
Mmmmm, cooking oil^	嗯，食用油^
Mmmmm, salad oil^	嗯，沙拉油^
oil	油
pantry	食物儲藏室
bucket full of water	裝滿水的水桶
There's already something in it.	裡面已經有東西了。
It looks clean enough already.	看起來已經夠乾淨了。
No, it would just get all gooey.	不，那樣只會變得黏答答。
water pump	抽水機
I hope this wasn't used in the outhouses.	希望這不是茅房用過的。
What the heck is this?	這到底是什麼鬼？
I hate these things.	我討厭這種東西。
Nothing to clean in here.	這裡沒什麼好清的。
What for?	幹嘛？
brush	刷子
cabinet	櫃子
It's full of water.	裝滿了水。
It's full of soapy water.	裝滿了肥皂水。
Nothing to scrub here.	這裡沒什麼好刷的。
Naw!  That would make a mess.	不要！那會弄得一團亂。
Why should I do that?	我幹嘛要那樣做？
bucket	水桶
Need to get it charged first.	得先把它充飽。
That doesn't need a battery.	那個不需要電池。
It's Red's battery	那是瑞德的電池
