# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Don't touch it!	別碰它！
They sure are!\255\003They're so clear you can see the fleas on the bedroom walls.	當然是！\255\003清楚到連臥室牆上的跳蚤都看得見。
Don't touch!	別碰！
Absolutely NOT!	絕對不行！
Let's talk about YOURS.	我們來聊聊你的吧。
Yeeeheeheehee!\255\009\015\000	咿嘻嘻嘻！\255\009\015\000
Bribery won't get you anywhere.	賄賂沒有用。
Watch it!	小心！
Impressive triangular formation.	令人印象深刻的三角隊形。
Purple Tentacles	紫色觸手群
Dr. Fred is being held under duress.	佛瑞德博士被脅持了。
Dr. Fred!  Are you alright?	佛瑞德博士！你還好嗎？
Get me out of here!	放我出去！
I feel like I'm pupating!	我覺得自己像在化蛹！
Dr. Fred	佛瑞德博士
I'm surprised I ever got out of there alive.	我很驚訝自己居然活著出來了。
I don't know how to run this thing!	我不知道這東西怎麼操作！
I don't think it's much use without a diamond.	沒有鑽石我看沒什麼用。
I don't want to cause any more trouble.	我不想再惹麻煩了。
power switch	電源開關
It's glowing.	它在發光。
It's fine where it is.	它放在那裡就好。
diamond	鑽石
Well, I'M ready to go.\255\003Who knows what Hoagie and Laverne are up to.	我這邊是準備好了。\255\003天曉得霍基和拉玟在搞什麼。
It can't do anything without a new diamond.	沒有新鑽石它什麼都做不了。
Too late.  We need it now.	太遲了。我們現在就需要。
time machine	時光機
Stop it, you little twerp.	住手，你這小鬼。
Yikes!  That's boring stuff!\255\003I'd yawn, but I'm too jacked on caffeine!	哎唷！那東西真無聊！\255\003我很想打呵欠，但咖啡因灌太多了！
He already signed it.	他已經簽了。
He doesn't want that.	他不想要那個。
He looks worried.	他看起來很擔心。
`World's Greatest Mad Scientist`	`世界最偉大的瘋狂科學家`
mug	馬克杯
I think it's designed to run with something more like a small rodent.	我想它是設計成用小型齧齒動物來驅動的。
It looks like a generator driven by a treadmill.	看起來像用跑輪驅動的發電機。
hamster generator	倉鼠發電機
patent application	專利申請書
It's Dr. Fred's design for a super-battery!\255\003It's capable of storing up to one gigavolt with a charging time of only .01 seconds!\255\003Wow!	這是佛瑞德博士的超級電池設計！\255\003能儲存高達十億伏特，充電時間只要 0.01 秒！\255\003哇！
It's a design for a super-battery.\255\003It looks like it's capable of storing up to one gigavolt in about .01 seconds.	這是超級電池的設計圖。\255\003看起來能在大約 0.01 秒內儲存高達十億伏特。
It's the battery plans I'm supposed to give to that Red Edison dude.	這是我該拿去給那個瑞德・艾迪生的電池設計圖。
I'd better not change them.	我最好別改動它。
Better not.\255\003That might invalidate the patent.	還是別了。\255\003那可能會讓專利失效。
paper	紙
`To do:`	`待辦：`
Hoagie needs this.	霍基需要這個。
There are no more push-pins.	沒有圖釘了。
`WARNING:  Output from this device is highly toxic^\255\003^and may cause tyrannical delusions if ingested.`	`警告：本裝置的排放物具高度毒性^\255\003^誤食可能導致暴君妄想症。`
`WARNING:  Do not touch the Sludge-O-Matic\015 3000.`	`警告：請勿觸碰污泥自動機\015 3000。`
Sludge-O-Matic\015	污泥自動機\015
We'd better deal with Purple Tentacle first!	我們最好先解決紫色觸手！
upstairs	樓上
I'd rather not.	我還是不要。
funnel	漏斗
I don't think he'll be much of a conversationalist right now.	我看他現在不會是個健談的對象。
I would, but he's asleep.	我是想啦，但他睡著了。
He's still asleep.	他還在睡。
He won't hear me, he's still asleep.	他聽不到，還在睡。
I'm not interested in your paltry offerings.	我對你那些微不足道的東西沒興趣。
He looks a lot like Santa, but not as friendly.	他長得很像聖誕老人，但沒那麼親切。
That's probably a bad idea.	那大概不是好主意。
I think it's the switch for the Sludge-O-Matic\015 machine.	我想那是污泥自動機\015 的開關。
We can't reach it!	我們構不到！
It's back on now.	現在又開了。
There, it's off. But it's too late now.	好，關了。但現在太遲了。
lever	拉桿
Hey, Doctor Fred!	嘿，佛瑞德博士！
Let's go get the contract out of the safe and sign it!	我們去把保險箱裡的合約拿出來簽了吧！
What was that you said about a contract?	你剛說合約什麼的？
We HAVE to do something!	我們一定要做點什麼！
