# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Later, dude.	回頭見，老兄。
Do you know where I could find him?	你知道哪裡找得到他嗎？
You wouldn't be him, would you?	你該不會就是他吧？
Any kind of oil will do.	什麼油都行。
I guess not.	我看不是。
Any restaurants nearby?	附近有餐廳嗎？
Maybe I could MAKE some vinegar.	也許我可以自己做醋。
Maybe some Krugerrands?	也許是克魯格金幣？
Maybe a gold watch?	也許是金錶？
Maybe not, eh?	也許不是，對吧？
I dig the three-corner idea.	我喜歡三角這個點子。
I know some dudes in a band who'd eat roaches for hats \254\008     like that.	我認識一個樂團的傢伙，為了那種帽子 \254\008     連蟑螂都肯吃。
Know where I could get one?	知道哪裡弄得到一頂嗎？
It's like the pyramids, you know?	有點像金字塔，你知道吧？
It's so piratey, you know?	超有海盜味的，你知道吧？
How do you decide which side's the front?	你怎麼決定哪一面是前面？
I heard pyramids are supposed to have weird energies.	我聽說金字塔有奇怪的能量。
My friend Eddie told me the pyramids were built by aliens.	我朋友艾迪跟我說金字塔是外星人蓋的。
Hey, are you REALLY a mummy?	欸，你真的是木乃伊嗎？
Far out.	太屌了。
As if.	才怪。
Way.	是真的。
Gnarly.	猛。
Awesome.	讚。
All's you need is an eyepatch and a hook.	你只差一個眼罩和一支鉤子。
Ever see the movie `The Secret of Monkey Island`?	你看過 `猴島小英雄` 那部電影嗎？
Avast, me matey!	站住，夥計！
Totally rad!	超讚的！
Wendell Finkwinkle is awesome as the Guybrush dude.	溫戴爾・芬克溫柯演蓋布許那角色超棒的。
Killer three-headed monkey effect, man.	三頭猴子的特效超殺，老兄。
Heh heh heh.	嘿嘿嘿。
Yo ho ho, dude.	唷呵呵，老兄。
Prepare to walk the plank, me bucko.	準備走跳板吧，小子。
Stand back, ye scurvy sea dog.	退後，你這壞血病老海狗。
Stop yer starin' and pass the grog.	別瞪了，把蘭姆酒遞過來。
Have at ye, o bilge rat.	看招，艙底鼠。
Make haste, three sheets to the wind.	快點，醉鬼。
Does a point always go forwards, or a flat part?	是尖角朝前，還是平的那面朝前？
Is there a tag in it, or what?	裡面有標籤還是什麼嗎？
Or are there competing fashions of tri-corner wear?	還是說三角帽的戴法有好幾種流派？
Personally, I'd wear the point forwards^	我個人會把尖角朝前^
Personally, I'd wear the flat part forwards^	我個人會把平的那面朝前^
^that way, you never forget which direction you're walking.	^那樣就永遠不會忘記自己往哪個方向走。
^that way, if you bang your head on a wall you don't wreck the hat.	^那樣撞到牆的時候就不會弄壞帽子。
Of course, they'd probably eat roaches anyhow.	當然啦，他們反正大概也會吃蟑螂。
They're called `Insensitive Spittoon.`	他們叫 `無感痰盂`。
Know where I could get them a couple hats, extra big?	知道哪裡弄得到幾頂特大號的帽子給他們嗎？
They're like that.	他們就是那樣。
Maybe with a little chocolate sauce.	也許再淋點巧克力醬。
I once saw them play a whole set with grasshoppers in \254\008     their nostrils.	我看過他們鼻孔塞著蚱蜢 \254\008     演完一整場。
Ever hear of them?	你聽過他們嗎？
They play funk punk folk polka house grunge rock.	他們玩放克龐克民謠波卡浩室油漬搖滾。
I helped name the band!	團名是我幫忙取的！
No, I guess you wouldn't have.	不，我想你不會聽過。
If you ever get to the 1990's, check them out.	你要是有機會到 1990 年代，去聽聽看。
They play at the Black and Blue Sound Pitt in the city a lot.	他們常在市區的黑青音場演出。
That's a new movement based in Tucson.	那是發源於土桑的新樂派。
They're heavily influenced by bands like Limpid Harmonica \254\008     and Howling Moon Rocket Limbo.	他們深受清澈口琴 \254\008     和嚎月火箭林波這類樂團影響。
I thought of the `Spittoon` part.	`痰盂` 那部分是我想的。
They might sign with VGA soon.	他們可能很快就要跟 VGA 簽約了。
I worked with them before I hooked up with Megabreth.	我在跟百萬口氣合作之前是跟他們做的。
Are there several manufacturers?	有好幾家廠商嗎？
Would I need to go to a specialty store?	我需要去專賣店嗎？
Do they come in a variety of designer colors?	有多種設計師配色嗎？
I'm interested in quality.	我在意品質。
Could I get a band logo printed on one?	可以印上樂團標誌嗎？
Does anyone make them with propellers on top?	有人做那種上面有螺旋槳的嗎？
I don't suppose you'd consider parting with yours, would you?	你該不會考慮把你那頂讓給我吧？
Well, let me know if you change your mind.	好吧，改變心意再跟我說。
Black is good, but how about red?	黑色不錯，但紅色如何？
Maybe like a gold lam or something.	也許來個金蔥布之類的。
I'd really go for a paisley print.	我還挺想要佩斯利花紋的。
Then again, I guess red wouldn't go over too big here at the moment.	話說回來，紅色現在在這裡大概不太受歡迎。
Hello, my silent gauze-wrapped friend.	哈囉，我沉默的紗布朋友。
I've powered up the Chron-O-John.	我把時光廁通上電了。
I've got to get power to my Chron-O-John.	我得給我的時光廁供電。
There's something else about the human show^	關於那場人類展還有一件事^
I'm concerned about the human show.	我很擔心那場人類展。
Do you think it's strange, me talking to a mummy?	你覺得我跟木乃伊講話很奇怪嗎？
My, those are nice clothes you're wearing.	哎呀，你身上那套衣服真好看。
I really should go now.	我真的該走了。
I hope Bernard and Hoagie get ready soon, so I can go \254\008     home.	希望伯納和霍基快點準備好，我才能 \254\008     回家。
I guess this is more or less goodbye.	我想這差不多就是道別了。
I wish I could take you back with me.	真希望我能帶你一起回去。
You've been a great friend.	你是個很棒的朋友。
Thanks for never complaining about anything.	謝謝你從來不抱怨任何事。
I just want to say you look great in spaghetti.	我只想說你穿義大利麵很好看。
But your wardrobe wouldn't go over well.	但你的衣著不會太受歡迎。
But I'm afraid of what my friends would say.	但我怕我朋友會怎麼說。
But that might mess up the space/time continuum.	但那可能會搞亂時空連續體。
Call me sometime, OK?	有空打給我，好嗎？
I mean, you not being able to talk back and so forth.	我是說，你沒辦法回話之類的。
It's not so different from talking to specimens at med \254\008     school.	這跟在醫學院跟標本講話 \254\008     沒差多少。
It's not so different from talking to guys at med school.	這跟在醫學院跟男生講話沒差多少。
Oh well.	唉，算了。
Actually, I kind of like that in a guy.	其實我還挺喜歡男生這樣的。
You probably haven't even got any lungs.	你大概連肺都沒有。
You, ah, CAN'T talk, right?	你，呃，是不能講話對吧？
