# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Circular Prints Left Behind	現場留下圓形印痕
Tentacle Rescues,\254\001Returns Emerald	觸手英勇救人\254\001歸還翡翠
Mayor Congratulates Purple\254\001Hero	市長表揚\254\001紫色英雄
Purple Tentacle is\254\001Man of the Year	紫色觸手當選\254\001年度風雲人物
Tentacle Visits White House	觸手訪問白宮
Tentacle to Run\254\001as GOP VP	觸手將代表共和黨\254\001參選副總統
Helms `Miffed`	赫姆斯`不悅`
President Ailing--\254\001Tentacle Steps In	總統抱恙——\254\001觸手代理
`I'm in Charge Here`	`這裡由我作主`
Tentacle Amends\254\001Constitution	觸手修改\254\001憲法
Humans Now Slaves	人類淪為奴隸
AAAAAAAAAAAAAAAAAAA!	啊啊啊啊啊啊啊啊啊！
Ah-ha!\255\003A secret passage!\255\003This is all too easy!	啊哈！\255\003秘密通道！\255\003這也太容易了！
driver paused	
present queued	
frdnkids queued	
something else playing	
driver unpaused	
Laverne!\255\003How'd you get upstairs?	拉玟！\255\003你怎麼跑到樓上來的？
Am I upstairs?\255\003I got lost.	我在樓上嗎？\255\003我迷路了。
Seen any tentacles?	有看到觸手嗎？
What's a tentacle?	觸手是什麼？
Oh, just something I whipped up in my spare time.	喔，只是我閒暇時隨手做出來的東西。
Made good pets, actually^	其實牠們是不錯的寵物^
^until one of them tried to take over the world.	^直到其中一隻想征服世界。
Had to tie the little buggers up in the basement.	只好把那些小混蛋綁在地下室。
Good thing you told us that.	幸好你告訴我們了。
Yeah, Bernard wanted us to set them free!	對啊，伯納還想放牠們自由呢！
Thank God you weren't THAT stupid.	謝天謝地你們沒那麼蠢。
Did you say BERNARD?!?	你剛說伯納？！
Okay, you're free to go!	好了，你們可以走了！
Thanks, Bernard!	謝了，伯納！
Yes, thank you, naive human!	是啊，謝謝你，天真的人類！
Now I can finish TAKING OVER THE WORLD!\255\003Ha ha ha!	現在我可以完成征服世界的大業了！\255\003哈哈哈！
Wait!	等等！
Oh, yeah.	喔，對喔。
Now I remember.	我想起來了。
He's incredibly evil, isn't he?	他邪惡得不得了，對吧？
Uh^\255\003I'll try to talk him out of it.	呃^\255\003我會試著勸他打消念頭。
Well, what possible harm could one insane, mutant tentacle do?	話說，一隻瘋狂的變種觸手能造成什麼傷害呢？
--click--	——喀——
Leaping labrats!	我的實驗鼠啊！
What have you done this time, you meddling milquetoast?	你這次又幹了什麼好事，你這個多管閒事的軟腳蝦？
Now Purple Tentacle is free to use his evil mutant powers to take over the world^\255\003^and ENSLAVE ALL HUMANITY!	現在紫色觸手可以自由運用他邪惡的變種能力征服世界^\255\003^並且奴役全人類了！
Whoops.	唉呀。
Our only hope now is to turn off my Sludge-O-Matic\015 machine^	我們現在唯一的希望，是關掉我的污泥自動機\015^
^and prevent the toxic mutagen from entering the river!	^阻止有毒的致變劑流進河裡！
Isn't it a little late for that, Doctor?	現在做這個是不是有點晚了，博士？
Of course!\255\003That's why I'll have to do it^	當然！\255\003所以我得在^
^YESTERDAY!	^昨天動手！
To the time machine!	到時光機去！
This is all your fault, Bernard.	這全都是你的錯，伯納。
Behold, children:  The Chron-O-John!	孩子們，看好了：時光廁！
Doc, can't you just send Bernard?	博士，你不能只派伯納去嗎？
No, you must all go, to increase the odds that one of you will make it there alive!	不行，你們都得去，這樣才能提高至少有一個人活著抵達的機率！
Have any people ever been hurt in this thing?	有人在這東西裡受過傷嗎？
This is the first time I've ever tried it on PEOPLE!	這是我第一次拿人來試！
*gasp*	*倒抽一口氣*
Well, I'll be.	我的老天。
It works!\255\003I can't believe it!	成功了！\255\003真不敢相信！
And they said imitation diamond wasn't good enough!	他們還說人造鑽石不夠格呢！
Cheap mail-order jewels!	便宜的郵購珠寶！
What happened to Hoagie and Laverne?!?	霍基和拉玟怎麼了？！
I KNEW I should have bought a REAL diamond!	我就知道我該買真鑽石的！
Are they alive?	他們還活著嗎？
My dials say that the larger specimen landed two hundred years in the past^	我的儀表顯示，比較大的那個標本降落在兩百年前^
^and the other is stuck two hundred years in the future!	^另一個則卡在兩百年後！
Well, hurry up and bring them back!	那快點把他們弄回來啊！
I will, as soon as I get a new diamond!	我會的，等我弄到新鑽石就好！
Then all your buddies have to do is plug in their respective Chron-O-Johns and--	然後你的朋友們只要把各自的時光廁插上電，然後——
Plug them in?!?\255\003Where is Hoagie going to find an electrical outlet TWO HUNDRED YEARS IN THE PAST!?!	插上電？！\255\003霍基要去哪裡找兩百年前的插座啊？！
Yes^  well^\255\003He'll be needing my patented super-battery then, won't he?	是啊^這個嘛^\255\003那他就會需要我那專利超級電池了，不是嗎？
Now, where did I put those patented super-battery plans of mine?	話說，我把那些專利超級電池的設計圖放哪去了？
Plans?  How are we going to get Hoagie PLANS?	設計圖？我們要怎麼把設計圖弄給霍基？
Don't worry me with details, boy!\255\003Just help me find the plans!	別拿細節煩我，小子！\255\003快幫我找設計圖！
They're in this house somewhere!	它們就在這棟房子裡的某個地方！
Now what am I going to do?	現在我該怎麼辦？
I think I made myself perfectly clear^	我想我說得夠清楚了^
Step One:  Find Plans.	第一步：找到設計圖。
Step Two:  Save World.	第二步：拯救世界。
Step Three:  Get Out of My House!	第三步：滾出我家！
Let's get crackin'!	我們開工吧！
Optimum beat:       28      	
Current beat:       \255\004\056\000     	
