# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Who's this, Doc?\255\003Relative?	這位是誰，博士？\255\003親戚嗎？
Well, I'm sure we can audit him next.	那我們下一個就查他好了。
This isn't a party.	這不是派對。
There're some IRS guys in the next room.	隔壁房間有幾個國稅局的人。
I bet there are better decorated rooms in prison.	我敢說監獄的房間裝潢都比這好。
Hmmm, a handle attached to a rotating shaft which transmits and modifies rotary motion and torque.	嗯，一個接在旋轉軸上的把手，用來傳遞並改變旋轉運動與扭矩。
These things agitate me for some reason.	這種東西不知為何讓我很躁動。
Alright, a crank!	好耶，一支曲柄！
crank	曲柄
A shaft is normally attached here to supply a rotary motive force which is transmitted up the pole.	這裡通常會接上一根軸，提供旋轉動力並沿桿子往上傳遞。
crank box	曲柄箱
It's a primitive but useful venting device which prevents injury due to harmful smoke inhalation.	這是個原始但實用的排氣裝置，可防止吸入有害煙霧造成傷害。
What on earth am I going to do with a flag pole?	我到底要拿旗桿做什麼？
Sounds like fun, but I've got work to do.	聽起來很好玩，但我有事要做。
There's no flag on it now because it's evening.	現在上面沒有旗子，因為是傍晚。
It won't fit through those little grommets.	穿不過那些小扣眼。
flag pole	旗桿
Nah, not right now.	不，現在不要。
The weave is quite fascinating, actually, a reverse double overlap which makes for phenomenal strength.	這編織法其實相當迷人，是反向雙重交疊，因此強度驚人。
I'm not that desperate to close it.	我沒那麼想關上它。
I can see Dr. Fred in there.	我看得到佛瑞德博士在裡面。
Not much to see in there.	裡面沒什麼好看的。
Wow! A pulley!  By using a combination of flexible materials and a wheel, one may gain mechanical advantage by changing the direction of motion and the applied force.	哇！滑輪！結合柔性材料與輪子，就能藉由改變運動方向與施力來獲得機械利益。
I don't think it needs it.	我看不需要。
Oooh, what keen Christmas lights!	喔，好棒的聖誕燈飾！
Christmas lights	聖誕燈飾
`Welcome, Novelty Goods Convention!`	`歡迎整人道具大會！`
It's locked.	鎖住了。
I can't.  It's stuck.	我沒辦法。卡住了。
Gosh, why don't I just use the OTHER window?	天啊，我幹嘛不用另一扇窗就好？
closed window	關著的窗
Nah. I'm not gonna make THAT mistake again.	不。我不會再犯那個錯了。
^oof^	^唔^
Dr. Fred, are you OK?	佛瑞德博士，你還好嗎？
I'd better get him to the lab.	我最好把他弄到實驗室。
Well, I got him in here.\255\003But he's out cold.	我把他弄進來了。\255\003但他昏得很徹底。
Powerful-looking speaker.	看起來很有力的喇叭。
No, the stereo would fall.	不，音響會倒。
It's too heavy.	太重了。
speaker	喇叭
It's way too high.	太高了。
It looks too heavy for me to pick up.	看起來重到我拿不動。
bowling ball	保齡球
I can't use a videotape with that!	我沒辦法用錄影帶配那個！
It's got Fred opening the safe on it.	上面錄著佛瑞德打開保險箱。
There's no label. It's probably blank.	沒有標籤。大概是空白帶。
That might mess up the tape.	那可能會弄壞帶子。
videotape	錄影帶
Good thing he didn't drink that stuff.	還好他沒喝那東西。
He's my friend!	他是我朋友！
I don't think a disguise will help much. There aren't too many tentacles around.	我看偽裝沒什麼用。這附近沒幾隻觸手。
Hey, you're pretty funny, Bernard.	欸，你挺好笑的，伯納。
Well, people do tell me that, actually.	嗯，其實常有人這麼說。
How about some coffee, Green?	來點咖啡嗎，小綠？
No thanks Bernard, can't stand the stuff.	不用了伯納，我受不了那東西。
Whoa, Bernard, get a life!\255\003No offense, man, but that stuff is BORING!	哇，伯納，去找點樂子吧！\255\003無意冒犯，老兄，但那東西超無聊！
green tentacle	綠色觸手
Uh-oh, this looks like it might work^	糟了，這看起來好像行得通^
I don't need to take over the world.	我不需要征服世界。
world domination plans	征服世界的計畫書
It's too high to reach!	太高構不到！
WOW!	哇！
This is LOUD!	好大聲！
It's pushed in.	已經按進去了。
It's sticking out.	已經彈出來了。
on/off button	電源鍵
Hmmm. Plenty of wattage in this stereo^	嗯。這台音響瓦數很夠^
^I can't wait to try my eight-tracks in it.	^我等不及要用它放我的八軌帶了。
stereo	音響
Nah.	不要。
I'll push it.	我用推的。
It's much too heavy!	太重了！
I wouldn't want to break it before tomorrow.	我可不想在明天之前弄壞它。
Great speakers!	好棒的喇叭！
Hoagie would really love these.	霍基一定會超愛這些。
Oops, maybe I shouldn't have pushed it.	糟糕，也許我不該推它。
It's too heavy for me to pick up.	太重了我拿不動。
What?\255\003I can't hear you!	什麼？\255\003我聽不到！
What's up, Bernard?	怎樣，伯納？
You haven't seen Dr. Fred's plans for a super-battery \254\008     around, have you?	你該不會看過佛瑞德博士的超級電池設計圖 \254\008     吧？
What do you suppose Purple's up to now?	你覺得小紫現在在搞什麼？
Wanna help me save the world?	想幫我拯救世界嗎？
I really like the name `Sushi Batter`.	我很喜歡 `壽司麵糊` 這個名字。
How's your new band doing?	你的新樂團怎麼樣？
Why the litterbox?  Have you got a cat?	幹嘛放貓砂盆？你有養貓嗎？
How does a tentacle sit in a beanbag chair?	觸手要怎麼坐懶骨頭？
Can you actually use that bowling ball?	那顆保齡球你真的用得了嗎？
Uh^\255\003Not much, actually.\255\003Still saving the world and all that.	呃^\255\003其實沒什麼。\255\003還在拯救世界之類的。
Oh, well, good luck then.	喔，那祝你好運。
Well, see you later, Green.	好啦，回頭見，小綠。
No, just these world domination plans of Purple's.\255\003Any of Fred's plans would probably be in his office or the lab.	沒有，只有小紫這份征服世界的計畫書。\255\003佛瑞德的設計圖大概都在他辦公室或實驗室。
Well, he wants to take over the world, so I figure he's up to something devious.	他想征服世界，所以我猜他在搞什麼陰險的事。
Conducting cryogenic experiments on small animals?	對小動物做冷凍實驗？
Designing a miniaturization ray?	設計縮小光線？
Pushing old ladies down the stairs?	把老太太推下樓梯？
I wouldn't doubt it, but I was thinking more along the lines of^\255\003^POLITICS!	我不懷疑，但我想的比較接近^\255\003^政治！
I'm afraid to leave the room.\255\003In fact, I don't think I can even move from this spot!\255\003Purple scares the daylights out of me!	我不敢離開這個房間。\255\003事實上，我連這個位置都動不了！\255\003小紫把我嚇得魂都沒了！
Yeah.\255\003Good luck saving the world, B-man.	嗯。\255\003拯救世界加油，B 哥。
Green T and the Sushi Platter?\255\003We're doing great!\255\003We've decided to really capitalize on our strongest quality as a band.	綠 T 與壽司拼盤？\255\003我們很好！\255\003我們決定要好好發揮樂團最強的特質。
Intoxicating three-part vocal harmony?	令人陶醉的三部和聲？
Provocative lyrical content?	挑釁的歌詞內容？
Carefully crafted melody and distinctive counterpoint?	精心雕琢的旋律與獨特的對位？
Really?  Which quality is that?	真的？是哪個特質？
Volume, man, volume!\255\003We have a chance to win a GRIMY award as the loudest new band.\255\003We're pulling out all the stops.	音量，老兄，音量！\255\003我們有機會以最大聲新樂團拿下髒兮兮獎。\255\003我們要卯足全力。
You mean Green T and the Sushi Platter?\255\003Thanks, that means a lot.	你是說綠 T 與壽司拼盤？\255\003謝了，這對我意義重大。
Don't ask.	別問。
Oh, that part's easy.\255\003It's getting back OUT of it that's hard.	喔，那部分很簡單。\255\003難的是要怎麼爬出來。
No, Purple brought that in here after he grew arms.\255\003He got really discouraged though, because he doesn't have FINGERS.	沒有，那是小紫長出手臂後搬進來的。\255\003不過他很受挫，因為他沒有手指。
Weren't you looking for a new guitarist a while back?	你之前不是在找新吉他手嗎？
Are you working on an album?	你們在做專輯嗎？
Have you gotten any airplay?	有電台播你們的歌嗎？
That's great.	那很棒。
Yes, but we decided to go with a guy who plays power tools instead.\255\003We can generate a lot more sound that way.	有，但我們後來決定找一個彈電動工具的。\255\003那樣可以產生大得多的聲音。
Yeah, we're doing a CD called `Rap on the Forehead.`\255\003I've got a few tracks hooked up through the stereo, if you want to hear them.	對，我們在做一張叫 `敲你額頭` 的 CD。\255\003我有幾首接在音響上，你想聽的話。
No, we're a little too experimental for most radio stations.\255\003But we have a huge following in the club scene.	沒有，我們對大多數電台來說太實驗性了。\255\003但我們在夜店圈有一大票死忠。
Green!	小綠！
Bernard!	伯納！
What are you doing up here?	你在上面幹嘛？
Well, I couldn't stop Purple, and he's going to go out and conquer the world, and I'm afraid of what he'll do if he catches me, if Dr. Fred doesn't find me first.	呃，我攔不住小紫，他要出去征服世界了，而我怕他抓到我會怎麼對我，前提是佛瑞德博士沒先找到我。
Uh^\255\003Does that answer your question?	呃^\255\003這樣有回答到你的問題嗎？
