# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Don't touch my stamps!	別碰我的郵票！
Pony express stamps!	快馬郵遞郵票！
Yes.  Not the most valuable kind, but they have a lot of sentimental value to me.	是的。不是最值錢的那種，但對我有很深的情感價值。
stamp album	集郵冊
Boy, he's been working out since the last time I saw him.	天啊，自從上次見面之後他有在健身。
Hi, Ed.	嗨，愛德。
Don't push it, man!\255\003Don't make me do something I'll regret!	別逼我，老兄！\255\003別逼我做出會後悔的事！
Hey!  Be careful!\255\003You almost hit my stamps!	喂！小心點！\255\003你差點打到我的郵票！
That's exactly what I DON'T want to do!	那正是我最不想做的事！
Nah, I better not.	算了，我還是別。
Hey!  You fixed it!	欸！你修好了！
I guess I can forgive you now.	我想我現在可以原諒你了。
Sometimes I do stupid stuff, and I don't even know why^	有時候我會做蠢事，連自己都不知道為什麼^
^as if my body were being controlled by some demented, sadistic puppet-master^	^好像我的身體被某個瘋狂又虐待狂的操偶師控制著^
Well, we all feel that way sometimes.	嗯，我們有時候都會有那種感覺。
I think I want to keep that one.	我想那個我要留著。
I don't think I should bother him with that.	我看我不該拿那個煩他。
Get out of here!	滾出去！
Weird Ed Edison	怪異愛德・艾迪生
Hamsters have no sense of humor. Everyone knows that.	倉鼠沒有幽默感。大家都知道。
He's reading the Wall Street Journal.	他在看華爾街日報。
He's frozen solid!	他凍得硬邦邦！
He still looks really cold.	他看起來還是很冷。
Cute little fella.	可愛的小傢伙。
I wish I had some formaldehyde.	真希望我有些福馬林。
Dr. Fred said not to flush living things.	佛瑞德博士說不要沖活的東西。
Dr. Fred said not to flush living things, I think.	我想佛瑞德博士說過不要沖活的東西。
I see no reason to torment the little guy.	我看不出有什麼理由折磨這小傢伙。
That's sick!	那太變態了！
No, I've grown attached to the cute little guy.	不，我對這可愛的小傢伙有感情了。
I might hurt the little fella.	我可能會弄傷這小傢伙。
I might hurt the little guy.	我可能會弄傷這小傢伙。
I need something more high-tech.	我需要更高科技的東西。
Hello, little computer.\255\003I respect you even though you've only got 64K of memory.	哈囉，小電腦。\255\003雖然你只有 64K 記憶體，我還是尊敬你。
I've got one just like this packed away in the garage.	我車庫裡收著一台一模一樣的。
Come on, it's not such a bad little computer.	拜託，這台小電腦沒那麼差。
computer	電腦
That's quite a nice collection.  Can I have it?	收藏得真不錯。可以給我嗎？
Nice hamster.  Does he do tricks?	倉鼠不錯。牠會表演嗎？
What happened to the old hamster?	之前那隻倉鼠怎麼了？
What was the horrible sound?	那個可怕的聲音是什麼？
That hamster really should get some exercise.	那隻倉鼠真的該運動一下。
Are all your hobbies this fascinating?	你的興趣都這麼引人入勝嗎？
How are the folks?	家人都好嗎？
Well, hope I didn't get you too excited.  Bye.	好啦，希望沒讓你太激動。再見。
NO!!!\255\003I mean^ uh^\255\003^no.	不！！！\255\003我是說^呃^\255\003^不行。
They mean a lot to me^\255\003Sometimes, I think they're the only friends I've got.	它們對我意義重大^\255\003有時候我覺得它們是我唯一的朋友。
No, he just sits there.\255\003I used to have a really smart hamster, but^	不，牠就只是坐在那。\255\003我以前有隻很聰明的倉鼠，但是^
^something^	^有些事^
^happened to him.	^發生在牠身上。
It was sort of like^\255\003`DING!`\255\003Oh God, I hear it in my dreams 'til this day!	那聲音有點像^\255\003`叮！`\255\003天啊，到今天我還會在夢裡聽到！
I^ I don't remember.\255\003When I try, all I can think of is a flash of light^\255\003^and this horrible sound.	我^我不記得了。\255\003一想就只想得到一道閃光^\255\003^和那個可怕的聲音。
Well, Dad puts him to work down in the basement sometimes.\255\003But then he starts sweating, and then he gets wet^	嗯，我爸有時候會叫牠去地下室工作。\255\003但牠會開始流汗，然後就濕了^
^and then he gets cold, and then he refuses to work.	^然後就冷了，然後就罷工。
Your dad or the hamster?	你爸還是倉鼠？
Are you making fun of me?	你在取笑我嗎？
No!  I--	不！我——
I get upset when people make fun of me!	有人取笑我我會很不爽！
I just meant--	我只是想說——
Ooooh!  It makes me so mad!\255\003I just want to^	喔！這讓我好生氣！\255\003我真想^
^relax.  I want to relax.\255\003I'll be okay, if I just focus on my stamps.	^放鬆。我想放鬆。\255\003只要專心看我的郵票，我就沒事了。
I don't have any other hobbies.\255\003These stamps are my whole life.\255\003If anything were ever to happen to them^	我沒有別的興趣。\255\003這些郵票是我的全部。\255\003如果它們出了什麼事^
