# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
built-in shop vac	嵌入式工業吸塵器
Not while he's working.	他在工作的時候不行。
I don't want to bug him.	我不想煩他。
I think warmth would work better than force.	我想溫暖會比蠻力有效。
He's just running and running and running^	他一直跑一直跑一直跑^
He looks too cold to run.	他看起來冷得跑不動。
Yep.  I'd say that's where the juice comes out.	沒錯。我看電就是從那裡出來的。
I don't want to gunk it up.	我不想把它弄髒堵住。
I'd probably be better off using a plug or something like that.	我大概該用插頭之類的東西比較好。
outlet	插座
It's hooked up to the generator.	它接在發電機上。
It's all hooked up now.	現在全都接好了。
I don't want to disturb it.\255\003It's all hooked up.	我不想動它。\255\003都接好了。
But it's all hooked up outside.	可是外面都接好了。
It's the extension cord I threw through the window.	這是我從窗戶丟進來的延長線。
There's a face print on the glove.\255\003I hope it's sprung for good.	手套上有個臉印。\255\003希望它就這樣壞掉別再彈了。
It's done moving.	它不動了。
I have no time for revenge^\255\003That will all come later.	我沒時間報仇^\255\003那些以後再說。
glove apparatus	手套裝置
It's the same generator that was in Dr. Fred's lab!	這就是佛瑞德博士實驗室裡那台發電機！
generator	發電機
I can see the Chron-o-John out there.	我看得到外面的時光廁。
booby trap	陷阱
hamster eyes	倉鼠眼睛
I can't from down here.	我在下面辦不到。
conveyor belt	輸送帶
I can't fit in there!	我塞不進去！
I'm sure he's in there.	我確定他在裡面。
What I need now is a vacuum cleaner.	我現在需要的是一台吸塵器。
Now, why isn't there a vacuum cleaner down here?	話說，這下面怎麼會沒有吸塵器？
Every American should have a vacuum cleaner in their basement!	每個美國人的地下室都該有一台吸塵器！
Looks abandoned.	看起來被廢棄了。
Hello?\255\003Fluffums?	有人嗎？\255\003毛毛？
Hello, mice.	你們好，老鼠。
Good riddance!	走得好！
It's beyond repair.	它已經修不好了。
It needs much more than a fresh coat of paint.	它需要的遠不只是重新上漆。
I don't think it's a crank-starter.	我看它不是手搖發動的。
It's damaged enough.	它已經夠壞了。
It needs much more than an oil change.	它需要的遠不只是換機油。
These go to an American car.	這些是美國車用的。
No wheels.	沒有輪子。
It's too late for christening.	現在才要下水命名太遲了。
time machine ruins	時光機殘骸
Probably just the tentacles' winter^\255\003^uh, winter^\255\003^things.	大概只是觸手的冬季^\255\003^呃，冬季^\255\003^用品吧。
I'm not interested in tentacle junk.	我對觸手的破爛沒興趣。
