# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
I've already won!	我已經贏了！
You can't stop me!	你們阻止不了我！
My other selves are taking over the world as we speak!	此刻我的其他分身正在接管世界！
The human race is doomed!	人類完蛋了！
Hahahaha!	哈哈哈哈！
wave starting	波浪開始
Great!\255\003Now we can turn off the machine and prevent all this tentacle mayhem from ever happening.	太好了！\255\003現在我們可以關掉機器，讓這場觸手浩劫從來沒發生過。
Well, I'm certainly glad THAT'S over with.	那件事總算結束了，真好。
Yeah, let's get out of here.	對，我們快離開這裡。
Leaving so soon?\255\003We haven't had the chance to get to KNOW one another.	這麼快就要走？\255\003我們還沒機會好好「認識」彼此呢。
Let's discuss your hatred of humans further.	我們再談談你對人類的憎恨。
Just what is it you have against humans, anyway?	你到底跟人類有什麼過節？
Why don't you zap FRED with the ray gun for a change?	你怎麼不換個對象，拿光線槍轟佛瑞德？
You're pretty handy with that ray gun.	你那把光線槍用得挺順手的。
Are you SURE you're a future version of Purple Tentacle?	你確定你是未來的紫色觸手？
Are you REALLY a future version of Purple Tentacle?	你真的是未來的紫色觸手？
We've gotta go save the world now.	我們得去拯救世界了。
What's to talk about?\255\003I detest the whole cackling, hand-wringing lot of you.	有什麼好談的？\255\003你們這群嘰嘰喳喳、搓手跺腳的傢伙我全都厭惡。
Humans are our oppressors!\255\003They made us live in this horrible motel!\255\003They created us in ungainly forms so we could not rise against them!\255\003Try walking around with your legs tied together and glue on your shoes, you'll see what I mean.	人類是我們的壓迫者！\255\003他們逼我們住在這間爛旅館！\255\003他們把我們造成這種笨拙的形體，好讓我們無法反抗！\255\003你把兩腿綁在一起、鞋底抹膠走走看，就懂我的意思了。
Center of the forehead, every time.	每次都正中額頭。
Who else would be brilliant enough to invent the Diminuator?	還有誰聰明到能發明縮小器？
I said I was, did I not?	我說了我是，不是嗎？
HAHAHAHAHA!!	哈哈哈哈哈！！
Would you like a demonstration?	需要示範一下嗎？
No, thanks, we can't afford it.	不用了，謝謝，我們付不起。
I bet you couldn't hit your OWN forehead.	我打賭你連自己的額頭都打不中。
Why don't you zap Dr. Fred if you hate him so much?	你那麼恨佛瑞德博士，怎麼不轟他？
It's free of charge, unlike the Diminuator.	這次免費，跟縮小器不一樣。
Nice try.	想得美。
Hmmm.\255\003Perhaps that WOULD be entertaining!	嗯。\255\003那說不定還挺有趣的！
So?	所以呢？
But humans created the Sludge-O-Matic, which made \254\008     you super-intelligent.	但污泥自動機是人類造的，是它讓 \254\008     你變得超級聰明。
Sounds like you just hate Dr. Fred.	聽起來你只是恨佛瑞德博士。
I see your point.	我懂你的意思了。
But humans also created the Sludge-O-Matic, which made \254\008     you super-intelligent.	但污泥自動機也是人類造的，是它讓 \254\008     你變得超級聰明。
Sounds like that's all Dr. Fred's fault, really.	聽起來那其實全是佛瑞德博士的錯。
You wouldn't understand.	你不會懂的。
Soon, the rest of the world will, too.	很快全世界也都會懂。
Nonsense.\255\003I created that myself and sent it back through time.\255\003I knew Fred's mad scientist ego would make him use it.\255\003How's that for a paradox?	胡說。\255\003那是我自己造的，再透過時間送回去。\255\003我知道佛瑞德那瘋狂科學家的自尊會讓他使用它。\255\003這個悖論如何？
It makes my heads hurt.	我的頭都痛了。
Who, Fred?  But there's only one of him.	誰，佛瑞德？可是他只有一個啊。
Right.\255\003Anyway, you can see why I detest humans.	沒錯。\255\003總之，你看得出我為什麼厭惡人類了。
Hmmm.\255\003I suppose you're right about that.\255\003I didn't start out hating ALL humans, just Dr. Fred.	嗯。\255\003這點你說得或許沒錯。\255\003我一開始並不是恨所有人類，只恨佛瑞德博士。
Could you give us some stock tips?	可以給我們一點股市明牌嗎？
Do the Sharks ever have a winning season?	鯊魚隊有沒有哪一季打贏過？
Do we manage to defeat you and save the world?	我們最後有打敗你、拯救世界嗎？
Can you remember stuff that hasn't happened yet?	你記得住還沒發生的事嗎？
Are you MORE or LESS intelligent than the Purple \254\008     Tentacle from our time?	你比我們那個時代的紫色 \254\008     觸手聰明還是笨？
How is it that you can grow hair without follicles?	你沒有毛囊是怎麼長出頭髮的？
I think we'd best be off now.	我看我們該走了。
Naturally.	那當然。
The same, but I'VE had two hundred years to think things over.\255\003Heh heh heh heh.	一樣，但我多了兩百年可以好好思考。\255\003嘿嘿嘿嘿。
It wasn't easy^\255\003^but the secret made me VERY wealthy.	那可不容易^\255\003^但這個秘密讓我非常富有。
If you wish.\255\003You won't want to miss the enslavement of everyone on Earth.	隨你。\255\003你不會想錯過全地球人被奴役的場面。
Don't invest in shoes!\255\003HAHAHAHAHA!	別投資鞋業！\255\003哈哈哈哈哈！
No, but the Tentacles do!\255\003HAHAHAHAHA!	沒有，但觸手隊有！\255\003哈哈哈哈哈！
Of course not!	當然沒有！
Bummer.	真掃興。
Excuse us^	借過^
Look, we're not letting you touch that lever.	聽著，我們不會讓你碰那根拉桿。
I said we're not letting you touch the lever.	我說了我們不會讓你碰那根拉桿。
Could you let us pull that lever over there?	可以讓我們拉一下那邊那根拉桿嗎？
Would you mind hopping out to get us some Chinese food?	介意跳出去幫我們買點中式料理嗎？
Look behind you, a three-headed monkey!	看你後面，三頭猴子！
Which one of you is the real Purple Tentacle?	你們哪一個才是真的紫色觸手？
Nice try, but we're not budging.	想得美，我們不會動的。
The only three-headed monkey here is in FRONT of us.	這裡唯一的三頭猴子就在我們「前面」。
We all are, dopey.\255\003Weren't you paying attention earlier?	我們全都是，笨蛋。\255\003你剛剛沒在聽嗎？
Now, buzz off.	快滾。
Oh, drat!	喔，可惡！
Ummm^\255\003^surely we can talk this out.	呃^\255\003^我們一定可以談一談的。
Talk^	談^
Surely^	一定^
WAIT!	等等！
You haven't heard the last of me!\255\003I'll be back!  And the next time^\255\003^the world^\255\003^and all its piffling inhabitants^\255\003^shall be MINE!\255\003All MINE!	這事還沒完！\255\003我會回來的！下一次^\255\003^這個世界^\255\003^還有上面所有微不足道的居民^\255\003^都將屬於我！\255\003全都是我的！
All mine!	全都是我的！
OK, little fella.\255\003Mail this to Siberia.	好了，小傢伙。\255\003把這個寄到西伯利亞。
Our work here is done.	我們在這裡的任務完成了。
Now we can go home.	現在可以回家了。
Maybe I put them upstairs^\255\003^that's got to be it!  Upstairs!	也許我放在樓上^\255\003^一定是這樣！樓上！
Mmmm. Thanks.\255\003I needed a little pick-me-up.	嗯。謝了。\255\003我正需要提提神。
Must ^ open ^ safe ^	必須 ^ 打開 ^ 保險箱 ^
Must ^ sign ^ contract ^\255\003Must ^ provide ^ for ^ family ^	必須 ^ 簽 ^ 合約 ^\255\003必須 ^ 養活 ^ 這個 ^ 家 ^
Now THAT'S good coffee!	這才叫好咖啡！
Damn good coffee!	這咖啡好喝得不得了！
He's already unconscious; decaf might kill him!	他已經昏過去了；低咖啡因可能會要他的命！
But it's worth a try.	但值得一試。
It looks like he has plenty of coffee already.	看起來他咖啡已經夠多了。
I've got the plans!	我拿到設計圖了！
Quick!  We have to flush them to Hoagie!	快！我們得把它沖給霍基！
