# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
doorbell	門鈴
This is the home of Dr. Fred,\003Nurse Edna, Weird Ed, Dead Cousin Ted,\003Green Tentacle and Purple Tentacle.	這裡住著佛瑞德博士，\003愛德娜護士、怪異愛德、死掉的表哥泰德，\003綠色觸手和紫色觸手。
front door	前門
key	鑰匙
It doesn't work.	不管用。
door mat	門墊
I'll leave it here.	我把它留在這裡。
stamps	郵票
Hmm, they're uncanceled.	嗯，這些郵票還沒蓋郵戳。
They stick!	黏住了！
They won't stick.	黏不上去。
package	包裹
To: Weird Ed	收件人：怪異愛德
Some uncanceled stamps came off!	掉下幾張沒蓋郵戳的郵票！
That would be illegal.	那是違法的。
envelope	信封
It's a blank envelope.	是個空白信封。
It's addressed to: 222 Skyscraper Way.	收件地址：摩天大道 222 號。
contract	合約
flag	信旗
mailbox	信箱
There is no address on it.	上面沒有寫地址。
There's no stamp on it.	上面沒有貼郵票。
The envelope is empty.	信封是空的。
Solicitors will be eaten.	推銷員一律吃掉。
grating	鐵柵
Easy!	太簡單了！
I can't budge it. It's rusted shut.	我搬不動，它鏽死了。
bushes	灌木叢
undeveloped film	未沖洗的底片
Kodak.	柯達。
Looks like photographs of Ed's plans.	看起來是愛德那些計畫的照片。
No! No! You have to develop it for me!	不行！不行！你得幫我把它沖洗出來！
tombstone	墓碑
And good riddance!	死得好！
Another one bites the dust!	又一個掛了！
Oh no! Radioactive steam! Ahheeeeeeee^	糟了！放射性蒸氣！啊——^
Glug! Glug! Glug! Glug!	咕嚕！咕嚕！咕嚕！咕嚕！
Wait! What IS that?	等等！那到底是什麼？
It has bits of fur like my hamster's!	上面的毛跟我的倉鼠一樣！
Oh no!!! What did you do!!! Argh!!!	不會吧！！！你做了什麼！！！啊！！！
YUM!!	好吃！！
It's already opened.	已經開了。
Ok, it's opened.	好，打開了。
I think I just exposed the film.	我好像把底片曝光了。
Wow! It's a recording contract for ME!	哇！是給我的唱片合約！
It's a recording contract for Syd.	是給賽德的唱片合約。
It's a recording contract for Razor.	是給瑞爾的唱片合約。
It's a recording contract\001for Green Tentacle.	是給綠色觸手的\001唱片合約。
It's a book publishing contract,\001and it's worth MILLIONS!	是一份出版合約，\001值好幾百萬！
Well, my dear. Hope you're having fun!\003Within minutes it'll all be over.\003You'll be hooked up to my machine\001getting your pretty brains sucked out.	親愛的，玩得還開心嗎？\003再過幾分鐘就全部結束了。\003你會被接上我的機器，\001把那漂亮的腦子吸出來。
You'll never get away with this!\003Dave and his friends will rescue me!\003You and your meteor can eat slime!	你不會得逞的！\003戴夫和他的朋友會來救我！\003你和你那顆隕石去吃黏液吧！
That's what she thinks!	她想得美！
Heh, heh, heh.	嘿，嘿，嘿。
Help, help, HELP!	救命，救命，救命啊！
Get away from me you purple slime geek.	離我遠一點，你這紫色黏液怪胎。
Don't touch me!	不要碰我！
PURPLE TENTACLE!!\003Stop playing with the lab experiments.\003Bring her, the machine is ready.\003Heh, heh, heh.	紫色觸手！！\003不要再玩實驗品了。\003把她帶過來，機器準備好了。\003嘿，嘿，嘿。
EEEEEEEEEK!!!!	啊啊啊啊！！！！
glowing key	發光的鑰匙
radio	收音機
Batteries!	電池！
batteries	電池
ladder	梯子
red button	紅色按鈕
DO NOT PRESS UNDER ANY CIRCUMSTANCES!	無論如何都不准按！
pool chair	泳池躺椅
drain	排水口
exposed cooling rods	裸露的冷卻棒
I'm not going to touch cooling rods!	我才不要摸冷卻棒！
radioactive slime	放射性黏液
I'm not going to touch that goo!	我才不要摸那團黏糊糊的東西！
door	門
radio tube	真空管
I don't know how this stuff works!	我不懂這種東西怎麼用！
old fashion radio	老式收音機
That doesn't seem to work.	好像沒有用。
I can't get it to work.	我沒辦法讓它動。
It wasn't on.	它本來就沒開。
It's not turned on.	它沒有開機。
old rusty key	生鏽的舊鑰匙
broken chandelier	壞掉的吊燈
I can't reach it.	我拿不到。
glass chandelier	玻璃吊燈
window	窗戶
couch	沙發
I can't budge it.	我搬不動。
cassette tape	錄音帶
It's still playing!	還在播！
cassette player	錄音機
There's no tape in the player.	機器裡沒有帶子。
cabinet door	櫃門
Gee, that was close!	哇，好險！
inner door	內門
top padlock	上面的鎖
bottom padlock	下面的鎖
outer door	外門
badge	警徽
Meteor Police, badge number 714.	隕石警察，警徽號碼 714。
skeleton	骨骸
I wonder if I know him.	不知道我認不認識他。
barred window	鐵窗
candle holder	燭台
loose brick	鬆動的磚頭
sign	標示
Staircase out of order.	樓梯故障。
I'm not a carpenter.	我又不是木匠。
That won't work.	那樣沒有用。
phone	電話
It seems to be broken.	好像壞了。
That should do it.	這樣應該就行了。
I need some tools or something?!	我需要工具之類的東西吧？！
I don't know anything about electronics!	我對電子完全沒概念！
loose panel	鬆動的面板
lamp	檯燈
staircase	樓梯
I can't fix the stairs with that.	用那個修不了樓梯。
Chuck the plant	盆栽恰克
chair	椅子
Now who could that be?	這會是誰啊？
