# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Nurse Edna	愛德娜護士
Weird Ed	怪異愛德
Dead Cousin Ted	死掉的表哥泰德
Purple Tentacle	紫色觸手
Green Tentacle	綠色觸手
Meteor	隕石
Plant	植物
   Copyright 1987, 1988 Lucasfilm Ltd. \001           All rights reserved.        	   Copyright 1987, 1988 Lucasfilm Ltd. \001           All rights reserved.
      Please select two other kids.	              請再選兩個人。
      Please select one other kid.	              請再選一個人。
I'd better get closer.	我最好靠近一點。
It's too dark to read.	太暗了看不清。
It doesn't seem to open.	好像打不開。
I can't move it.	我搬不動。
There's nothing to read on it.	上面沒有東西可讀。
I can't pick that up.	那個我拿不起來。
sound \004\200	音效 \004\200
The Meteor has control of your computer\001and he won't let you save the game.	隕石控制了你的電腦，\001它不讓你存檔。
         Lucasfilm Games Presents	           盧卡斯影業遊戲呈獻
             MANIAC MANSION	                瘋狂大樓
Hello, and welcome to Maniac Mansion,\001an exciting new game from Lucasfilm.	哈囉，歡迎來到《瘋狂大樓》，\001Lucasfilm 令人興奮的全新遊戲。
I'm Dave Miller, your personal guide\001and one of the stars of the adventure.	我是戴夫・米勒，你的專屬導遊，\001也是這場冒險的主角之一。
Here's where Sandy was held captive,\001and where we rescued her from Dr. Fred.	珊蒂就是被關在這裡，\001我們也在這裡把她從佛瑞德博士手中救出。
Let's go inside.	我們進去吧。
I've arranged for the occupants to be\001gone during our `tour.`\003We shouldn't have any problems.	我已經安排住戶在我們「導覽」時\001都不在家。\003應該不會有問題。
Oh. That was a `cut-scene.`\003They let you know what's\001going on elsewhere in the mansion.	喔，那是「過場動畫」。\003它會告訴你大樓其他地方\001正在發生什麼事。
All these tours make me hungry.	導覽這麼多趟讓我餓了。
Here's the kitchen.	這裡是廚房。
I see they haven't cleaned up the, er,\001uh, um... the mess yet.	看來他們還沒清掉那個，呃，\001嗯……那攤東西。
I think I just lost my appetite.	我好像沒胃口了。
I know, let's go to my favorite room,\001the basement.	有了，我們去我最喜歡的房間，\001地下室。
Oh yes, no handle.	喔對，沒有把手。
Now how did I open this door last time?\003Push it?	上次我是怎麼開這扇門的？\003用推的？
Nope. Maybe I need a running start.	不對。也許我需要助跑。
Owwwwwwwwwwwwwwwwwww!   	痛啊啊啊啊啊啊！
Oh well, I'll let you figure it out.	好吧，這個就留給你自己想。
Hi Sandy, could you turn the music down?	嗨珊蒂，可以把音樂關小聲嗎？
Sandy, the music's too loud!	珊蒂，音樂太大聲了！
SANDY, TURN OFF THE MUSIC!	珊蒂，把音樂關掉！
Oh!	喔！
I'm sorry Dave, I couldn't hear you,\003the music was too loud.	抱歉戴夫，我聽不見你講話，\003音樂太大聲了。
Everybody's a comedian!	每個人都是喜劇演員！
