# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
the detail is exceptional.`	細節處理非凡。`
                    - COMPUTE!'s Gazette	
`As funny as it is fun.`	`既好玩又好笑。`
                           - A+ Magazine	
`There are ingenious puzzles to be	`探索這棟大樓、認識屋裡的住戶時，
solved as you explore the mansion	有許多巧妙的謎題等著你
and meet its inhabitants.`	動腦解開。`
                    - The New York Times	
`Diabolically fun^wildly entertaining^	`惡搞得淋漓盡致^娛樂性十足^
a cross between 'The Rocky Horror	像是《洛基恐怖秀》
Picture Show' and 'The Addams Family'.`	和《阿達一族》的綜合體。`
                - Columbia Daily Tribune	
Wheeeee!	咿呀——！
        All the kids have died.\003     The rescue attempt has failed.\003     Sandy is doomed to zombiehood.	              孩子們全都死了。\003              救援行動失敗了。\003            珊蒂註定要變成殭屍。
Dr. Fred, still under the evil meteor's\001influence, is destined to take over the^\003^world and a small part of the galaxy.\003Hope you like purple...heh, heh, heh	佛瑞德博士仍受那顆邪惡隕石\001控制，註定要征服^\003^世界和銀河系的一小部分。\003希望你喜歡紫色……嘿，嘿，嘿
         The house and everyone\001         within a 5 mile radius\003           have been destroyed\001       in a massive nuclear meltdown.	            這棟房子和方圓五英里內\001                 的所有人\003               都在一場大規模\001            核子爐心熔毀中被毀滅。
            THE GAME IS OVER	                 遊戲結束
     Select Save, Load or Continue.	       請選擇存檔、讀檔或繼續。
      The game could not be saved.	             遊戲存檔失敗。
           The game was saved.	               遊戲已存檔。
          The game was loaded.	               遊戲已讀檔。
     The game could not be loaded.	             遊戲讀檔失敗。
I can't get it loose!	我沒辦法把它弄鬆！
switch	開關
purple slime	紫色黏液
I'm not going to touch that slime!	我才不要碰那團黏液！
Wow! A lucrative publishing contract!	哇！一份超好賺的出版合約！
I'm going to be famous!\003I don't have to be evil anymore.	我要出名了！\003我不必再當壞人了。
Dr. Fred, release the women, all\001the women. We're going to be rich!	佛瑞德博士，把女人放了，\001全部放了。我們要發財了！
I don't want that! Prepare to die!!!	我不要那個！準備受死吧！！！
YOWL!	哇啊！
It's locked	鎖住了
