# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
picture of Dr. Fred	佛瑞德博士的照片
night stand	床頭櫃
plant	盆栽
perfume	香水
pillow	枕頭
Oh! An unwelcome visitor!	喔！不受歡迎的訪客！
Come to me, cutie!	過來吧，小可愛！
I got you!	抓到你了！
You're lucky you're not a boy\001or you'd be in BIG trouble now!	你運氣好不是男生，\001不然現在就麻煩大了！
How silly of me!\003I should have tied you to my bed!	我真傻！\003早該把你綁在我床上！
Want some food? Come here dearie!	想吃東西嗎？過來啊親愛的！
mondo stereo	超猛音響
Hey, it's a CD player!	嘿，是 CD 播放機！
Tentacle mating calls.	觸手求偶叫聲。
picture	照片
To my slimiest son, love MOM	給我最黏的兒子，愛你的媽
yellow key	黃色鑰匙
left speaker	左聲道喇叭
THX Sound	THX 音效
right speaker	右聲道喇叭
poster	海報
See Ron Gilbert Live at the Forum!	隆・吉伯特論壇廣場現場演出！
demo tape	試聽帶
I don't want my tape back - it's awful!	我不要拿回我的帶子——爛透了！
You made a demo tape? Let's hear it!	你錄了試聽帶？來聽聽！
Hey, this is great stuff!	嘿，這東西超讚！
I could use someone like you in my band!	我的樂團需要你這種人！
I have a demo tape, but it's no use.\003I'll never get a recording contract,\001even if we get a band together.	我有試聽帶，但沒用。\003就算組成樂團，\001我也拿不到唱片合約。
Not very good!\003I think you need some work on your\001dynamic range.	不太好！\003我覺得你的動態範圍\001還得再練。
THE TENTACLE MATING CALL!!\003AGGGGGGGGGGGG!!	觸手求偶叫聲！！\003啊啊啊啊啊啊！！
Not bad.\003It needs a bit more work, though.	不錯。\003不過還得再修一修。
Oh I'm so depressed.\003I'm never going to get my band started!\003My life is going nowhere.\003I'm never going to amount to anything.\003Eating all that food didn't even help.	我好沮喪。\003我的樂團永遠組不起來！\003我的人生毫無進展。\003我永遠不會有什麼出息。\003吃了那麼多東西也沒用。
Hi!	嗨！
I'm soooooooooooo depressed.	我好——沮喪。
It's blank.	是空白的。
Oh, so you got a contract for yourself?	喔，所以你替自己拿到合約了？
Thanks alot! I think I'll kill myself!	真是謝謝你喔！我還是去死好了！
On second thought^	不過再想想^
A recording contract for ME??	給我的唱片合約？？
This is GREAT!\003We'll call our band:\001`GT and the Suction Cups.`\003We'll be on MTV and everything!\003And don't forget\001I'll protect you no matter what!	太棒了！\003我們的樂團就叫：\001「綠色觸手與吸盤幫」。\003我們會上 MTV 什麼的！\003別忘了\001不管怎樣我都會保護你！
Now all we have to do is get rid\001of that meteor.	現在只剩下\001把那顆隕石解決掉。
A contract for the evil meteor?\003You're on IT'S side! GRRRR.	給那顆邪惡隕石的合約？\003你站在它那邊！吼——。
dime	十分硬幣
picture of Nurse Edna	愛德娜護士的照片
wanted poster	通緝海報
tube socket	真空管插座
I don't know how!	我不會！
It's missing a type W-88 vacuum tube.	少了一支 W-88 型真空管。
I can't get it to work.\001It might be missing a part.	我沒辦法讓它動，\001可能少了零件。
The meteor was already picked up.	隕石已經被帶走了。
The police are on their way.	警察正在路上。
This is the Meteor Police.	這裡是隕石警察。
Uh huh^	嗯哼^
You found the murderous purple meteor?\003I'll be there in 5 minutes!\003Oh, make sure the lab is unlocked.	你找到那顆殺人的紫色隕石？\003我五分鐘內到！\003喔，記得把實驗室的鎖打開。
As for you^\003^keep it under lightspeed!	至於你^\003^別超過光速！
Ok, I'll come back,\001but this time unlock the lab!	好，我再來一次，\001但這次把實驗室打開！
Enough! I'll come back one more time!	夠了！我最後再來一次！
Forget it!	算了！
All right! Let's go get 'em!	好！我們去抓他們！
How am I supposed to get in there?	我要怎麼進去啊？
Oh well, maybe next time.	好吧，也許下次。
Don't bug me, sucker-face!	別煩我，吸盤臉！
Stand aside!	讓開！
Sooo, it's you, slimy purple meteor.	原——來是你，黏答答的紫色隕石。
Oh no! You found me!	糟了！你找到我了！
You're coming with me crater-head!	跟我走，坑洞腦袋！
WANTED: For terrible acts of violence.\001  One murderous purple slimy meteor.	通緝：犯下可怕暴力行為。\001  一顆殺人的紫色黏液隕石。
If found, call \002	若發現請撥 \002
manuscript	手稿
I can't fix it with that!	用那個修不了！
medical diagram	醫學圖解
Chewy carmel center.	內含耐嚼焦糖。
medical chart	病歷圖表
WOW! That's neat!!	哇！這超酷！！
Yuck. That's disgusting!	噁，真噁心！
Mail-A-Med Diploma	函授醫學文憑
Presented to Doctor Fred.	頒給佛瑞德醫師。
Docs 'R Us Diploma	「醫生都是我們」文憑
Degree for mummifying and bandaging.	木乃伊化與包紮學位。
desk lamp	檯燈
black board	黑板
It looks like formulas\001describing the structure of a meteor!\003That's strange.	看起來是描述隕石結構的\001公式！\003真奇怪。
examination table	診療台
real skeleton	真的骨骸
Oooh! That's scary!	喔！好可怕！
medical cabinet	醫療櫃
It looks like someone's memoir,\001but the writing is terrible!\003It's written by a meteor? How strange!	看起來是某人的回憶錄，\001但文筆爛透了！\003是一顆隕石寫的？真奇怪！
This is the worst junk I've ever read.	這是我讀過最爛的垃圾。
This is great stuff!\003The whole world should see it.	這東西太棒了！\003該讓全世界看看。
enlarger	放大機
developer tray@@@	顯影盤@@@@@@@@@@@
The tray is already full.	盤子已經滿了。
file drawers	檔案抽屜
They're locked.	鎖住了。
I don't have a key for this.	我沒有這個的鑰匙。
red light	紅燈
prints	照片
Nobody's going to want ruined prints!	沒人會要毀掉的照片！
Perfect!	完美！
I need some developer solution first.	我得先要有顯影液。
Water's not going to work!	用水沒有用！
I don't know how.	我不會。
glass jar	玻璃瓶
sponge	海綿
sponge with water	吸了水的海綿
sponge with developer	吸了顯影劑的海綿
developer tray	顯影盤
tray of water	裝水的盤子
tray of developer	裝顯影劑的盤子
pull chain	沖水拉繩
toilet lid	馬桶蓋
toilet	馬桶
I'd like a little more privacy for that!	那種事我需要多一點隱私！
water faucet	水龍頭
The handle's missing.	把手不見了。
That doesn't make sense.	那樣沒道理。
shower curtain	浴簾
water	水
sponge@@@@@@@@@@@@@@@	海綿@@@@@@@@@@@@@@@@@
sink	洗手台
